Timestamp,Your Name,Marker Name,Marker Description,Location,Relevant Trips,Category
8/27/2015 15:39:39,Addison Howenstine,,"The trails here that we use for the fun run are poorly marked. Basically you just want to take the trail North as much as you can until you get to a road. You *will* get to a road (Road 225) if you never decide to take a trail South. When we did the route this year, the path we took looked nothing like the map and spat us out on the road in a v different location from where we wanted to be. Just take that road all the way East. NEVER. TURN. LEFT. 

Also, DO NOT EXPECT TO DRIVE DOWN 225! This is how runners got lost in 2014. You can drive up 475B, but 225 is CLOSED. You'll have to park at this intersection.

So basically for the fun run, take the Cove Creek Trail north to 225, turn Right, follow 225 (which won't be marked) to 475B, go down 475B, turn right on the paved road, *make sure that the babies run in the left lane against traffic because #safety, and then turn right up into Cove. This year (2015) the route was 9.5 miles because the route to get from Cove to 225 was pretty long.

Also watch out for misogynist bear killing hunters that may heckle girls.","35.292761111955286, -82.81689318505857",August,Safety
8/27/2015 22:16:20,George Bernard,,"The Bradley creek trail head is kinda hard to find. There's no sign or marker on it.  It's a moderately steep trail coming off the south side of the road. Obvi look at the map  when you're driving there. Its after the marked trail head on the north side of the road, and before the road blockage when you turn the corner. If you make it to some campsites called YG, that means yellow gap (too far). It is NOT through a campsite. Using parking lots to tell distance is ineffective (what even IS a parking lot in pisgah). Use the marked trail head to the north as a signal to slow down the convoy into search mode.","35.38329270936827, -82.68685969201658",August,Trail head
8/27/2015 23:36:09,Michael Kim,,"There are some really awesome cliff overhangs here right where the trail splits off. Almost directly south of the intersection is a sheer cliff with some areas to sit and they're surrounded by blueberry bushes. I definitely recommend spending at least a few moments there taking in the view and enjoying the bounty.

If southbound, a left will take you to Shitfuck Ridge and a right will take you towards Devil's Courthous.

","35.30768164676807, -82.88392695275877",Unknown,VAM (View Appreciation Moment)
8/30/2015 10:38:30,Jared,,You might think there would be camping at a place with a name like Saddle Gap. You would be wrong.,"35.31349500695989, -82.76419314233397",Unknown,Campsite
5/27/2016 22:37:38,Ari Novick,,"This is a tunnel. I believe tunnels are PWILD black zone. But in the winter the BRP might be closed, so then...it's okay? I don't know. But I'm marking it so that you think to discuss it before you hit the trail.","35.304879878212596, -82.8948274501953","August, March, STEP",Safety
6/13/2016 20:31:19,Mike Kim,,testy mctester,"35.292621, -82.83371599999998","August, March, STEP",Test
6/13/2016 23:27:05,Dusty H,,This mountain is EXHAUSTING. Make sure you know your crew before thinking about doing it the first day...,"35.27307300565261, -82.86693247644041","August, March, STEP",Pro-Tip!
6/13/2016 23:28:06,Dusty H,,Some people may say that this is a route starting place. Do not trust them. This is false. The only way to get here is by ~hiking~,"35.279099055420346, -82.86701830712889","August, March, STEP",Pro-Tip!
6/13/2016 23:32:46,Dusty H,,"There's good camping down here by the river, but no good places for bear hangs and no good places to cook. Also, it's probably not ok to camp here ever again because of new Pisgah Bear rules, but just in case, keep this in mind.","35.328411718153895, -82.82882365075682","August, March, STEP",Campsite
6/23/2016 1:05:29,Ari,,Art Annex,"35.99971348112977, -78.91873689977263",August,Landmark
9/24/2016 11:22:29,Spud ,,There's a waterfall accessible from where the road and Art Loeb cross about a two minute walk North East. It was a good place for water August 2013 & 2015 but was dry 2016. ,"35.30964282702411, -82.88263949243162",August,Water
3/6/2018 1:16:24,Jules,,"When coming up from 607 on August 2017, couldn't find the 362 path - or if we didn't, it's very overgrown. Great high impact campsite by the river - unclear of safety if it's raining, however. ","35.33737442737306, -82.82676371423338","August, March",Pro-Tip!
3/19/2018 12:07:11,Jules,,"On the map, this maintenance road very clearly connects with the Art Loeb. In real life, it very clearly doesn't. 

You either have to do some minor bushwhacking 200 feet up a hill to find the Art Loeb or (possibly, we didn't do this) walk along the dried up creek until you find the trail. It's hard to spot but look for the creek and the switchback, if you start walking southwest, you've probably gone too far. ","35.27328322423821, -82.74960192529295","August, March",Pro-Tip!
3/19/2018 12:17:18,Jules,,"If necessary, the road widens enough along this route that you can set up a tent, although it is hard to put stakes in the ground due to rocks. In 2018, the road was clearly not being used and we did not see any cars. 

There is also a mysterious trail on both sides of the road here that is well-maintained. With packs on, it probably takes ~30-45 mins from the earlier Art Loeb non-intersection. It is not the Art Loeb. I cannot identify it on the map. It might eventually meet up w the Art Loeb but definitely not for a while. ¯\_(ツ)_/¯  ","35.26956928224188, -82.7523485073242",March,Campsite
3/21/2018 13:58:42,Shayna,,"It takes about 2 hours (with many breaks) to get to the top of Looking Glass and about 45 minutes to get down without stopping.
March 2018","35.29107975248487, -82.77741106835936","August, March",VAM (View Appreciation Moment)
3/21/2018 13:59:35,Mackenzie,,"Also could not find the 362, and we looked for like an hour. map makes it seem like it should be across the river at the junction of the two that intersect here, but there's nothing over there.","35.33702434019826, -82.82581957666014","August, March",Campsite
3/21/2018 14:00:25,Maddy,,"Connecter trail sign to Devil's Courthouse is broken so isn't obvious anymore, but the bottom half is still there! Just look for the knee-high broken wooden sign. ","35.30586050824387, -82.89474161950682","August, March, STEP",Landmark
3/21/2018 14:00:46,Shayna,,"You go down a very steep downhill trail and about 50 meters of a ""gap"" and then another steep uphill trail. There are two campsite within this small gap and there isn't camping until you get to Pressley Gap
March 2018","35.32869181786112, -82.70239504663084","August, March",Campsite
3/21/2018 14:01:28,Shayna,,"Great camping site right at the intersection of this road and trail
March 2018","35.31377515834425, -82.72943171350096","August, March",Campsite
3/21/2018 14:02:23,Shayna,,"Also the first place to get water between here and Turkey Pen on 322. Head west on the gravel road and you'll get to a stream along the 112 trail
March 2018","35.31377515834425, -82.72943171350096","August, March",Water
3/21/2018 14:02:40,Mackenzie,,"This southern trail is actually off of 276 a little ways east of the Big East Fork trailhead/sign. You can't see it from the parking lot, but if you go east on the road and up around the curve you'll see another small parking lot with a very clear trail.","35.364396578722705, -82.81749399987791","August, March",
3/21/2018 14:05:26,Mackenzie,,"In March 2018, the sign for the Devil's Courthouse Connector trail was broken/missing. To find it, look for the intersection of three trails and a broken half-sign at the intersection- that's your connector trail","35.305930552791324, -82.89559992639158","August, March, STEP",
3/21/2018 14:10:35,Mackenzie,,"Cave is approximately here. Look for a steep side-trail on your left and a large waterfall in the distance. Cave is on the spur trail on the way to the waterfall. If not many people around, best to leave the packs at the top of the spur trail if hiking down to see this one.","35.28029019823061, -82.79809626428221","August, March",
3/21/2018 14:14:06,Mackenzie,,"Despite these both being named gaps, there is zero camping here. Have to go all the way to Poplar Lick (works in March, not really in August) or Pressley.","35.3294620870515, -82.68222483483885","August, March",
4/9/2018 21:49:01,Ari,,"This is just a test, but fun fact: this used to be a really confusing drop off.","35.382654304403836, -82.73430738550098","August, March",Pro-Tip!
